school_district,rep_name,rep_district,rep_email,rep_party,rep_stance,rep_role,rep_address,enrollment,poverty_rate,minority_rate
"Hillsboro City School District","Bob Peterson",91,rep91@ohiohouse.gov,R,Hostile,State Rep,"77 S High St, Columbus, OH 43215",,,
"Hillsdale Local School District","Melanie Miller",67,rep67@ohiohouse.gov,R,Hostile,State Rep,"77 S High St, Columbus, OH 43215",,,
"Holgate Local School District","James M. Hoops",81,rep81@ohiohouse.gov,R,Hostile,State Rep,"77 S High St, Columbus, OH 43215",,,
"Hopewell-Loudon Local School District","Gary Click",88,rep88@ohiohouse.gov,R,Hostile,State Rep,"77 S High St, Columbus, OH 43215",,,
"Howland Local School District","Nick Santucci",64,rep64@ohiohouse.gov,R,Hostile,State Rep,"77 S High St, Columbus, OH 43215",,,
"Hubbard Exempted Village School District","Nick Santucci",64,rep64@ohiohouse.gov,R,Hostile,State Rep,"77 S High St, Columbus, OH 43215",,,
"Huber Heights City School District","Phil Plummer",39,rep39@ohiohouse.gov,R,Hostile,State Rep,"77 S High St, Columbus, OH 43215",,,
"Hudson City School District","Bill Roemer",31,rep31@ohiohouse.gov,R,Hostile,State Rep,"77 S High St, Columbus, OH 43215",,,
"Huntington Local School District","Mark Johnson",92,rep92@ohiohouse.gov,R,Hostile,State Rep,"77 S High St, Columbus, OH 43215",,,
"Huron City School District","D. J. Swearingen",89,rep89@ohiohouse.gov,R,Hostile,State Rep,"77 S High St, Columbus, OH 43215",,,
"Independence Local School District","Michael D. Dovilla",17,rep17@ohiohouse.gov,R,Hostile,State Rep,"77 S High St, Columbus, OH 43215",,,
"Indian Creek Local School District","Ron Ferguson",96,rep96@ohiohouse.gov,R,Hostile,State Rep,"77 S High St, Columbus, OH 43215",,,
"Indian Hill Exempted Village School District","Rachel B. Baker",27,rep27@ohiohouse.gov,D,Friendly,State Rep,"77 S High St, Columbus, OH 43215",,,
"Indian Lake Local School District","Tracy M. Richardson",86,rep86@ohiohouse.gov,R,Hostile,State Rep,"77 S High St, Columbus, OH 43215",,,
"Indian Valley Local School District","Mark Hiner",98,rep98@ohiohouse.gov,R,Hostile,State Rep,"77 S High St, Columbus, OH 43215",,,
"Ironton City School District","Jason Stephens",93,rep93@ohiohouse.gov,R,Hostile,State Rep,"77 S High St, Columbus, OH 43215",,,
"Jackson Center Local School District","Tim Barhorst",85,rep85@ohiohouse.gov,R,Hostile,State Rep,"77 S High St, Columbus, OH 43215",,,
"Jackson City School District","Justin Pizzulli",90,rep90@ohiohouse.gov,R,Hostile,State Rep,"77 S High St, Columbus, OH 43215",,,
"Jackson Local School District","Scott Oelslager",48,rep48@ohiohouse.gov,R,Hostile,State Rep,"77 S High St, Columbus, OH 43215",,,
"Jackson-Milton Local School District","Tex Fischer",59,rep59@ohiohouse.gov,R,Hostile,State Rep,"77 S High St, Columbus, OH 43215",,,
"James A. Garfield Local School District","Heidi Workman",72,rep72@ohiohouse.gov,R,Hostile,State Rep,"77 S High St, Columbus, OH 43215",,,
"Jefferson Area Local School District","Sarah Fowler Arthur",99,rep99@ohiohouse.gov,R,Hostile,State Rep,"77 S High St, Columbus, OH 43215",,,
"Jefferson Local School District","Christine Cockley",6,rep06@ohiohouse.gov,D,Friendly,State Rep,"77 S High St, Columbus, OH 43215",,,
"Jefferson Township Local School District","Desiree Tims",38,rep38@ohiohouse.gov,D,Friendly,State Rep,"77 S High St, Columbus, OH 43215",,,
"Jennings Local School District","Roy Klopfenstein",82,rep82@ohiohouse.gov,R,Hostile,State Rep,"77 S High St, Columbus, OH 43215",,,
"Johnstown-Monroe Local School District","Kevin D. Miller",69,rep69@ohiohouse.gov,R,Hostile,State Rep,"77 S High St, Columbus, OH 43215",,,
"Jonathan Alder Local School District","Beth Lear",61,rep61@ohiohouse.gov,R,Hostile,State Rep,"77 S High St, Columbus, OH 43215",,,
"Joseph Badger Local School District","Nick Santucci",64,rep64@ohiohouse.gov,R,Hostile,State Rep,"77 S High St, Columbus, OH 43215",,,
"Kalida Local School District","Roy Klopfenstein",82,rep82@ohiohouse.gov,R,Hostile,State Rep,"77 S High St, Columbus, OH 43215",,,
"Kelleys Island Local School District","D. J. Swearingen",89,rep89@ohiohouse.gov,R,Hostile,State Rep,"77 S High St, Columbus, OH 43215",,,
"Kenston Local School District","Sarah Fowler Arthur",99,rep99@ohiohouse.gov,R,Hostile,State Rep,"77 S High St, Columbus, OH 43215",,,
"Kent City School District","Heidi Workman",72,rep72@ohiohouse.gov,R,Hostile,State Rep,"77 S High St, Columbus, OH 43215",,,
"Kenton City School District","Heidi Workman",72,rep72@ohiohouse.gov,R,Hostile,State Rep,"77 S High St, Columbus, OH 43215",,,
"Kettering City School District","Andrea White",36,rep36@ohiohouse.gov,R,Hostile,State Rep,"77 S High St, Columbus, OH 43215",,,
"Keystone Local School District","Joseph A. Miller, III",53,rep53@ohiohouse.gov,D,Friendly,State Rep,"77 S High St, Columbus, OH 43215",,,
"Kings Local School District","Adam Mathews",56,rep56@ohiohouse.gov,R,Hostile,State Rep,"77 S High St, Columbus, OH 43215",,,
"Kirtland Local School District","Jamie Callender",57,rep57@ohiohouse.gov,R,Hostile,State Rep,"77 S High St, Columbus, OH 43215",,,
"LaBrae Local School District","Nick Santucci",64,rep64@ohiohouse.gov,R,Hostile,State Rep,"77 S High St, Columbus, OH 43215",,,
"Lake Local School District","Matthew Kishman",50,rep50@ohiohouse.gov,R,Hostile,State Rep,"77 S High St, Columbus, OH 43215",,,
"Lake Local School District","Matthew Kishman",50,rep50@ohiohouse.gov,R,Hostile,State Rep,"77 S High St, Columbus, OH 43215",,,
"Lakeview Local School District","Nick Santucci",64,rep64@ohiohouse.gov,R,Hostile,State Rep,"77 S High St, Columbus, OH 43215",,,
"Lakewood City School District","Tristan Rader",13,rep13@ohiohouse.gov,D,Friendly,State Rep,"77 S High St, Columbus, OH 43215",,,
"Lakewood Local School District","Kevin D. Miller",69,rep69@ohiohouse.gov,R,Hostile,State Rep,"77 S High St, Columbus, OH 43215",,,
"Lakota Local Schools","Jennifer Gross",45,rep45@ohiohouse.gov,R,Hostile,State Rep,"77 S High St, Columbus, OH 43215",,,
"Lakota Local Schools","Jennifer Gross",45,rep45@ohiohouse.gov,R,Hostile,State Rep,"77 S High St, Columbus, OH 43215",,,
"Lancaster City School District","Heidi Workman",72,rep72@ohiohouse.gov,R,Hostile,State Rep,"77 S High St, Columbus, OH 43215",,,
"Lebanon City School District","Adam Mathews",56,rep56@ohiohouse.gov,R,Hostile,State Rep,"77 S High St, Columbus, OH 43215",,,
"Leetonia Exempted Village School District","Monica Robb Blasdel",79,rep79@ohiohouse.gov,R,Hostile,State Rep,"77 S High St, Columbus, OH 43215",,,
"Leipsic Local School District","Roy Klopfenstein",82,rep82@ohiohouse.gov,R,Hostile,State Rep,"77 S High St, Columbus, OH 43215",,,
"Lexington Local School District","Marilyn John",76,rep76@ohiohouse.gov,R,Hostile,State Rep,"77 S High St, Columbus, OH 43215",,,
"Liberty-Benton Local School District","Ty D. Mathews",83,rep83@ohiohouse.gov,R,Hostile,State Rep,"77 S High St, Columbus, OH 43215",,,
"Liberty Center Local School District","James M. Hoops",81,rep81@ohiohouse.gov,R,Hostile,State Rep,"77 S High St, Columbus, OH 43215",,,
"Liberty Local School District","Nick Santucci",64,rep64@ohiohouse.gov,R,Hostile,State Rep,"77 S High St, Columbus, OH 43215",,,
"Liberty Union-Thurston Local School District","Brian Stewart",12,rep12@ohiohouse.gov,R,Hostile,State Rep,"77 S High St, Columbus, OH 43215",,,
"Licking Heights Local School District","Kevin D. Miller",69,rep69@ohiohouse.gov,R,Hostile,State Rep,"77 S High St, Columbus, OH 43215",,,
"Licking Valley Local School District","Kevin D. Miller",69,rep69@ohiohouse.gov,R,Hostile,State Rep,"77 S High St, Columbus, OH 43215",,,
"Lima City School District","Matt Huffman",78,rep78@ohiohouse.gov,R,Hostile,State Rep,"77 S High St, Columbus, OH 43215",,,
"Lincolnview Local School District","Roy Klopfenstein",82,rep82@ohiohouse.gov,R,Hostile,State Rep,"77 S High St, Columbus, OH 43215",,,
"Lisbon Exempted Village School District","Monica Robb Blasdel",79,rep79@ohiohouse.gov,R,Hostile,State Rep,"77 S High St, Columbus, OH 43215",,,
"Little Miami Local School District","Jean Schmidt",62,rep62@ohiohouse.gov,R,Hostile,State Rep,"77 S High St, Columbus, OH 43215",,,
"Lockland Local School District","Karen Brownlee",28,rep28@ohiohouse.gov,D,Friendly,State Rep,"77 S High St, Columbus, OH 43215",,,
"Logan Elm Local School District","Brian Stewart",12,rep12@ohiohouse.gov,R,Hostile,State Rep,"77 S High St, Columbus, OH 43215",,,
"Logan-Hocking Local School District","Kevin Ritter",94,rep94@ohiohouse.gov,R,Hostile,State Rep,"77 S High St, Columbus, OH 43215",,,
"London City School District","Beth Lear",61,rep61@ohiohouse.gov,R,Hostile,State Rep,"77 S High St, Columbus, OH 43215",,,
"Lorain City School District","Joseph A. Miller, III",53,rep53@ohiohouse.gov,D,Friendly,State Rep,"77 S High St, Columbus, OH 43215",,,
"Lordstown Local School District","Nick Santucci",64,rep64@ohiohouse.gov,R,Hostile,State Rep,"77 S High St, Columbus, OH 43215",,,
"Loudonville-Perrysville Exempted Village School District","Melanie Miller",67,rep67@ohiohouse.gov,R,Hostile,State Rep,"77 S High St, Columbus, OH 43215",,,
"Louisville City School District","Jim Thomas",49,rep49@ohiohouse.gov,R,Hostile,State Rep,"77 S High St, Columbus, OH 43215",,,
"Loveland City School District","Rachel B. Baker",27,rep27@ohiohouse.gov,D,Friendly,State Rep,"77 S High St, Columbus, OH 43215",,,
"Lowellville Local School District","Tex Fischer",59,rep59@ohiohouse.gov,R,Hostile,State Rep,"77 S High St, Columbus, OH 43215",,,
"Lucas Local School District","Marilyn John",76,rep76@ohiohouse.gov,R,Hostile,State Rep,"77 S High St, Columbus, OH 43215",,,
"Lynchburg-Clay Local School District","Bob Peterson",91,rep91@ohiohouse.gov,R,Hostile,State Rep,"77 S High St, Columbus, OH 43215",,,
